[BEGIN] 2016/5/13 11:40:16
ps -ef  
UID        PID  PPID  C STIME TTY          TIME CMD
root       111     2  0  2015 ?        00:00:02 [kblockd/5]
root       112     2  0  2015 ?        00:00:01 [kblockd/6]
root       113     2  0  2015 ?        00:00:01 [kblockd/7]
root       114     2  0  2015 ?        00:00:01 [kblockd/8]
root       115     2  0  2015 ?        00:00:01 [kblockd/9]
root       116     2  0  2015 ?        00:00:01 [kblockd/10]
root       117     2  0  2015 ?        00:00:01 [kblockd/11]
root       118     2  0  2015 ?        00:00:14 [kblockd/12]
root       119     2  0  2015 ?        00:00:02 [kblockd/13]
root       120     2  0  2015 ?        00:18:12 [kblockd/14]
root       121     2  0  2015 ?        00:00:02 [kblockd/15]
root       122     2  0  2015 ?        00:00:00 [kacpid]
root       123     2  0  2015 ?        00:00:00 [kacpi_notify]
root       124     2  0  2015 ?        00:00:00 [kacpi_hotplug]
root       125     2  0  2015 ?        00:00:00 [ata_aux]
root       126     2  0  2015 ?        00:00:00 [ata_sff/0]
root       127     2  0  2015 ?        00:00:00 [ata_sff/1]
root       128     2  0  2015 ?        00:00:00 [ata_sff/2]
root       129     2  0  2015 ?        00:00:00 [ata_sff/3]
root       130     2  0  2015 ?        00:00:00 [ata_sff/4]
root       131     2  0  2015 ?        00:00:00 [ata_sff/5]
root       132     2  0  2015 ?        00:00:00 [ata_sff/6]
root       133     2  0  2015 ?        00:00:00 [ata_sff/7]
root       134     2  0  2015 ?        00:00:00 [ata_sff/8]
root       135     2  0  2015 ?        00:00:00 [ata_sff/9]
root       136     2  0  2015 ?        00:00:00 [ata_sff/10]
root       137     2  0  2015 ?        00:00:00 [ata_sff/11]
root       138     2  0  2015 ?        00:00:00 [ata_sff/12]
root       139     2  0  2015 ?        00:00:00 [ata_sff/13]
root       140     2  0  2015 ?        00:00:00 [ata_sff/14]
root       141     2  0  2015 ?        00:00:00 [ata_sff/15]
root       142     2  0  2015 ?        00:00:00 [ksuspend_usbd]
root       143     2  0  2015 ?        00:00:00 [khubd]
root       144     2  0  2015 ?        00:00:00 [kseriod]
root       145     2  0  2015 ?        00:00:00 [md/0]
root       146     2  0  2015 ?        00:00:00 [md/1]
root       147     2  0  2015 ?        00:00:00 [md/2]
root       148     2  0  2015 ?        00:00:00 [md/3]
root       149     2  0  2015 ?        00:00:00 [md/4]
root       150     2  0  2015 ?        00:00:00 [md/5]
root       151     2  0  2015 ?        00:00:00 [md/6]
root       152     2  0  2015 ?        00:00:00 [md/7]
root       153     2  0  2015 ?        00:00:00 [md/8]
root       154     2  0  2015 ?        00:00:00 [md/9]
root       155     2  0  2015 ?        00:00:00 [md/10]
root       156     2  0  2015 ?        00:00:00 [md/11]
root       157     2  0  2015 ?        00:00:00 [md/12]
root       158     2  0  2015 ?        00:00:00 [md/13]
root       159     2  0  2015 ?        00:00:00 [md/14]
root       160     2  0  2015 ?        00:00:00 [md/15]
root       161     2  0  2015 ?        00:00:00 [md_misc/0]
root       162     2  0  2015 ?        00:00:00 [md_misc/1]
root       163     2  0  2015 ?        00:00:00 [md_misc/2]
root       164     2  0  2015 ?        00:00:00 [md_misc/3]
root       165     2  0  2015 ?        00:00:00 [md_misc/4]
root       166     2  0  2015 ?        00:00:00 [md_misc/5]
root       167     2  0  2015 ?        00:00:00 [md_misc/6]
root       168     2  0  2015 ?        00:00:00 [md_misc/7]
root       169     2  0  2015 ?        00:00:00 [md_misc/8]
root       170     2  0  2015 ?        00:00:00 [md_misc/9]
root       171     2  0  2015 ?        00:00:00 [md_misc/10]
root       172     2  0  2015 ?        00:00:00 [md_misc/11]
root       173     2  0  2015 ?        00:00:00 [md_misc/12]
root       174     2  0  2015 ?        00:00:00 [md_misc/13]
root       175     2  0  2015 ?        00:00:00 [md_misc/14]
root       176     2  0  2015 ?        00:00:00 [md_misc/15]
root       177     2  0  2015 ?        00:00:00 [linkwatch]
root       178     2  0  2015 ?        00:01:02 [khungtaskd]
root       179     2  0  2015 ?        01:00:23 [kswapd0]
root       180     2  0  2015 ?        00:00:00 [ksmd]
root       181     2  0  2015 ?        00:10:41 [khugepaged]
root       182     2  0  2015 ?        00:00:00 [aio/0]
root       183     2  0  2015 ?        00:00:00 [aio/1]
root       184     2  0  2015 ?        00:00:00 [aio/2]
root       185     2  0  2015 ?        00:00:00 [aio/3]
root       186     2  0  2015 ?        00:00:00 [aio/4]
root       187     2  0  2015 ?        00:00:00 [aio/5]
root       188     2  0  2015 ?        00:00:00 [aio/6]
root       189     2  0  2015 ?        00:00:00 [aio/7]
root       190     2  0  2015 ?        00:00:00 [aio/8]
root       191     2  0  2015 ?        00:00:00 [aio/9]
root       192     2  0  2015 ?        00:00:00 [aio/10]
root       193     2  0  2015 ?        00:00:00 [aio/11]
root       194     2  0  2015 ?        00:00:00 [aio/12]
root       195     2  0  2015 ?        00:00:00 [aio/13]
root       196     2  0  2015 ?        00:00:00 [aio/14]
root       197     2  0  2015 ?        00:00:00 [aio/15]
root       198     2  0  2015 ?        00:00:00 [crypto/0]
root       199     2  0  2015 ?        00:00:00 [crypto/1]
root       200     2  0  2015 ?        00:00:00 [crypto/2]
root       201     2  0  2015 ?        00:00:00 [crypto/3]
root       202     2  0  2015 ?        00:00:00 [crypto/4]
root       203     2  0  2015 ?        00:00:00 [crypto/5]
root       204     2  0  2015 ?        00:00:00 [crypto/6]
root       205     2  0  2015 ?        00:00:00 [crypto/7]
root       206     2  0  2015 ?        00:00:00 [crypto/8]
root       207     2  0  2015 ?        00:00:00 [crypto/9]
root       208     2  0  2015 ?        00:00:00 [crypto/10]
root       209     2  0  2015 ?        00:00:00 [crypto/11]
root       210     2  0  2015 ?        00:00:00 [crypto/12]
root       211     2  0  2015 ?        00:00:00 [crypto/13]
root       212     2  0  2015 ?        00:00:00 [crypto/14]
root       213     2  0  2015 ?        00:00:00 [crypto/15]
root       218     2  0  2015 ?        00:00:00 [kthrotld/0]
root       219     2  0  2015 ?        00:00:00 [kthrotld/1]
root       220     2  0  2015 ?        00:00:00 [kthrotld/2]
root       221     2  0  2015 ?        00:00:00 [kthrotld/3]
root       222     2  0  2015 ?        00:00:00 [kthrotld/4]
root       223     2  0  2015 ?        00:00:00 [kthrotld/5]
root       224     2  0  2015 ?        00:00:00 [kthrotld/6]
root       225     2  0  2015 ?        00:00:00 [kthrotld/7]
root       226     2  0  2015 ?        00:00:00 [kthrotld/8]
root       227     2  0  2015 ?        00:00:00 [kthrotld/9]
root       228     2  0  2015 ?        00:00:00 [kthrotld/10]
root       229     2  0  2015 ?        00:00:00 [kthrotld/11]
root       230     2  0  2015 ?        00:00:00 [kthrotld/12]
root       231     2  0  2015 ?        00:00:00 [kthrotld/13]
root       232     2  0  2015 ?        00:00:00 [kthrotld/14]
root       233     2  0  2015 ?        00:00:00 [kthrotld/15]
root       235     2  0  2015 ?        00:00:00 [kpsmoused]
root       236     2  0  2015 ?        00:00:00 [usbhid_resumer]
root       266     2  0  2015 ?        00:00:00 [kstriped]
root       372     2  0  2015 ?        00:00:00 [scsi_eh_0]
root       373     2  0  2015 ?        00:00:00 [scsi_eh_1]
root       504     2  0  2015 ?        00:00:00 [virtio-blk]
root       521     2  0  2015 ?        04:17:17 [jbd2/vda3-8]
root       522     2  0  2015 ?        00:00:00 [ext4-dio-unwrit]
root       614     1  0  2015 ?        00:00:00 /sbin/udevd -d
root       750     2  0  2015 ?        01:38:32 [flush-252:0]
root       806     2  0  2015 ?        00:00:00 [hd-audio0]
root       827     2  0  2015 ?        00:00:00 [vballoon]
root      1396     2  0  2015 ?        00:00:00 [jbd2/vda1-8]
root      1397     2  0  2015 ?        00:00:00 [ext4-dio-unwrit]
root      1444     2  0  2015 ?        00:00:58 [kauditd]
root      1658     1  0  2015 ?        00:02:39 auditd
root      1683     1  0  2015 ?        00:00:54 /sbin/rsyslogd -i /var/run/syslogd.pid -c 5
root      1712     1  0  2015 ?        01:07:10 irqbalance --pid=/var/run/irqbalance.pid
rpc       1726     1  0  2015 ?        00:01:30 rpcbind
dbus      1840     1  0  2015 ?        00:00:13 dbus-daemon --system
root      1851     1  0  2015 ?        00:02:33 NetworkManager --pid-file=/var/run/NetworkManager/NetworkManager.pid
root      1855     1  0  2015 ?        00:00:00 /usr/sbin/modem-manager
rpcuser   1872     1  0  2015 ?        00:00:00 rpc.statd
root      1907     1  0  2015 ?        00:00:00 /usr/sbin/wpa_supplicant -c /etc/wpa_supplicant/wpa_supplicant.conf -B -u -f /var/log/wpa_supplicant.l
root      1931     1  0  2015 ?        00:00:00 cupsd -C /etc/cups/cupsd.conf
root      1942     1  0  2015 ?        00:00:00 /usr/sbin/acpid
68        1951     1  0  2015 ?        00:05:48 hald
root      1952  1951  0  2015 ?        00:00:00 hald-runner
root      1993  1952  0  2015 ?        00:00:00 hald-addon-input: Listening on /dev/input/event2 /dev/input/event0
68        1998  1952  0  2015 ?        00:00:00 hald-addon-acpi: listening on acpid socket /var/run/acpid.socket
root      2023     1  0  2015 ?        00:13:40 automount --pid-file /var/run/autofs.pid
root      2124     1  0  2015 ?        00:05:36 /usr/libexec/postfix/master
postfix   2133  2124  0  2015 ?        00:01:15 qmgr -l -t fifo -u
root      2148     1  0  2015 ?        00:00:00 /usr/sbin/abrtd
root      2156     1  0  2015 ?        00:05:35 crond
root      2167     1  0  2015 ?        00:00:05 /usr/sbin/atd
root      2179     1  0  2015 ?        00:01:47 /usr/sbin/certmonger -S -p /var/run/certmonger.pid
root      2192     1  0  2015 ?        00:00:00 login -- root     
root      2194     1  0  2015 tty2     00:00:00 /sbin/mingetty /dev/tty2
root      2196     1  0  2015 tty3     00:00:00 /sbin/mingetty /dev/tty3
root      2198     1  0  2015 tty4     00:00:00 /sbin/mingetty /dev/tty4
root      2200     1  0  2015 tty5     00:00:00 /sbin/mingetty /dev/tty5
root      2202     1  0  2015 tty6     00:00:00 /sbin/mingetty /dev/tty6
root      2217     1  0  2015 ?        00:00:01 /usr/sbin/console-kit-daemon --no-daemon
root      2284  2192  0  2015 tty1     00:00:01 -bash
root      6704 11224  0 11:35 ?        00:00:00 sshd: admin [priv]
admin     6910  6704  0 11:35 ?        00:00:00 sshd: admin@pts/3
admin     6912  6910  0 11:35 pts/3    00:00:00 -bash
